Sample_id,Sample_label
1,1
2,9
3,2
4,1
5,1
6,1
7,6
8,1
9,1
10,2
11,1
12,1
13,1
14,5
15,2
16,6
17,1
18,1
19,3
20,2
21,3
22,9
23,1
24,1
25,2
26,4
27,5
28,1
29,8
30,1
31,6
32,1
33,2
34,7
35,9
36,4
37,1
38,1
39,1
40,1
41,6
42,1
43,1
44,1
45,1
46,2
47,2
48,1
49,4
50,1
51,2
52,3
53,2
54,8
55,6
56,3
57,6
58,1
59,3
60,4
61,1
62,1
63,1
64,1
65,4
66,4
67,7
68,4
69,2
70,8
71,1
72,6
73,1
74,1
75,1
76,3
77,1
78,3
79,6
80,1
81,6
82,1
83,1
84,1
85,2
86,2
87,9
88,3
89,1
90,1
91,2
92,1
93,1
94,1
95,1
96,8
97,4
98,1
99,1
100,2
101,1
102,1
103,2
104,1
105,4
106,1
107,1
108,1
109,2
110,1
111,2
112,1
113,1
114,1
115,1
116,8
117,1
118,1
119,1
120,5
121,1
122,1
123,5
124,1
125,3
126,7
127,7
128,1
129,2
130,2
131,8
132,1
133,1
134,6
135,1
136,4
137,4
138,3
139,6
140,7
141,1
142,2
143,4
144,1
145,9
146,1
147,2
148,1
149,9
150,1
151,1
152,6
153,2
154,9
155,3
156,1
157,1
158,8
159,1
160,4
161,1
162,2
163,8
164,4
165,1
166,8
167,7
168,1
169,4
170,9
171,2
172,1
173,1
174,1
175,1
176,2
177,1
178,8
179,8
180,2
181,1
182,8
183,2
184,2
185,1
186,1
187,3
188,4
189,1
190,4
191,1
192,2
193,1
194,3
195,1
196,3
197,3
198,1
199,2
200,8
201,2
202,1
203,10
204,1
205,3
206,1
207,1
208,1
209,5
210,3
211,1
212,6
213,8
214,1
215,1
216,2
217,5
218,1
219,6
220,2
221,1
222,8
223,1
224,1
225,1
226,3
227,1
228,5
229,1
230,1
231,3
232,9
233,5
234,5
235,5
236,1
237,2
238,6
239,2
240,1
241,5
242,5
243,1
244,2
245,1
246,4
247,1
248,2
249,1
250,1
251,1
252,1
253,1
254,3
255,1
256,1
257,1
258,2
259,1
260,4
261,6
262,3
263,4
264,1
265,1
266,4
267,1
268,6
269,4
270,1
271,2
272,1
273,1
274,1
275,5
276,2
277,2
278,2
279,4
280,2
281,6
282,1
283,1
284,1
285,1
286,2
287,8
288,2
289,1
290,7
291,2
292,1
293,4
294,1
295,5
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,1
309,1
310,1
311,10
312,3
313,1
314,1
315,1
316,3
317,4
318,1
319,2
320,1
321,1
322,2
323,3
324,1
325,1
326,5
327,6
328,10
329,1
330,1
331,1
332,9
333,5
334,1
335,1
336,1
337,5
338,5
339,3
340,6
341,1
342,5
343,1
344,2
345,1
346,1
347,9
348,1
349,5
350,5
351,1
352,3
353,2
354,3
355,1
356,1
357,1
358,7
359,8
360,1
361,8
